score,K,weight,p
0.8709276299428003,2,uniform,1
0.8711763242974384,2,uniform,2
0.8699328525242477,2,uniform,3
0.8709276299428003,2,distance,1
0.8711763242974384,2,distance,2
0.8699328525242477,2,distance,3
0.8187018154687888,3,uniform,1
0.8203183287739368,3,uniform,2
0.820691370305894,3,uniform,3
0.8241730912708282,3,distance,1
0.8246704799801045,3,distance,2
0.825540910221338,3,distance,3
0.8187018154687888,4,uniform,1
0.8203183287739368,4,uniform,2
0.820691370305894,4,uniform,3
0.8215618005471276,4,distance,1
0.8225565779656802,4,distance,2
0.8220591892564039,4,distance,3
0.7764237751803034,5,uniform,1
0.7780402884854514,5,uniform,2
0.7750559562297936,5,uniform,3
0.7879880626709773,5,distance,1
0.7862472021885103,5,distance,2
0.7835115642874907,5,distance,3
0.7769211638895797,6,uniform,1
0.7784133300174086,6,uniform,2
0.7754289977617508,6,uniform,3
0.7821437453369808,6,distance,1
0.7830141755782144,6,distance,2
0.7805272320318328,6,distance,3
0.7329022631186272,7,uniform,1
0.7315344441681174,7,uniform,2
0.7281770703805024,7,uniform,3
0.755782143745337,7,distance,1
0.7483213131061925,7,distance,2
0.7432230788361104,7,distance,3
0.7332753046505844,8,uniform,1
0.7321561800547127,8,uniform,2
0.7287988062670977,8,uniform,3
0.7448395921412584,8,distance,1
0.7409848296443671,8,distance,2
0.7371300671474758,8,distance,3
0.6913703058940562,9,uniform,1
0.6868938075105695,9,uniform,2
0.6862720716239742,9,uniform,3
0.7220840586918676,9,distance,1
0.7101467296692365,9,distance,2
0.7062919671723452,9,distance,3
0.6929868191992041,10,uniform,1
0.6887590151703556,10,uniform,2
0.6877642377518031,10,uniform,3
0.709276299428003,10,distance,1
0.7019398159661776,10,distance,2
0.7000746083063915,10,distance,3
0.6523252922158667,11,uniform,1
0.6502113902014425,11,uniform,2
0.6505844317333996,11,uniform,3
0.6904998756528227,11,distance,1
0.6779408107435961,11,distance,2
0.6728425764735141,11,distance,3
0.6568017905993534,12,uniform,1
0.6545635414076101,12,uniform,2
0.6546878885849291,12,uniform,3
0.6783138522755533,12,distance,1
0.6681173837353892,12,distance,2
0.6679930365580702,12,distance,3
0.6249689132056703,13,uniform,1
0.6218602337726934,13,uniform,2
0.619497637403631,13,uniform,3
0.6669982591395175,13,distance,1
0.6497140014921662,13,distance,2
0.6451131559313603,13,distance,3
0.6331758269087292,14,uniform,1
0.6306888833623476,14,uniform,2
0.6286993285252425,14,uniform,3
0.6553096244715245,14,distance,1
0.6454861974633176,14,distance,2
0.6423775180303407,14,distance,3
